source,target
PEGGY CARTER,TONY STARK
THANOS,TONY STARK
ERIK SELVIG,TONY STARK
JARVIS,TONY STARK
SAM WILSON,TONY STARK
CLINT BARTON,TONY STARK
JAMES RHODES,TONY STARK
NICK FURY,TONY STARK
BRUCE BANNER,TONY STARK
NATASHA ROMANOFF,TONY STARK
THOR,TONY STARK
STEVE ROGERS,TONY STARK
BALLET INSTRUCTOR,STEVE ROGERS
KLAUE'S MERCENARY,STEVE ROGERS
SOLDIERS,STEVE ROGERS
PARTY GUEST,STEVE ROGERS
SPECIALIST CAMERON KLEIN,STEVE ROGERS
FORTRESS SOLDIER,STEVE ROGERS
MADAME B,STEVE ROGERS
IRON LEGION,STEVE ROGERS
LILA BARTON,STEVE ROGERS
ANNOUNCER,STEVE ROGERS
DR. LIST,STEVE ROGERS
STAN LEE,STEVE ROGERS
BARON WOLFGANG VON STRUCKER,STEVE ROGERS
DR. HELEN CHO,STEVE ROGERS
LAURA BARTON,STEVE ROGERS
PIETRO MAXIMOFF,STEVE ROGERS
FRIDAY,STEVE ROGERS
HEIMDALL,STEVE ROGERS
MARIA HILL,STEVE ROGERS
ERIK SELVIG,STEVE ROGERS
JARVIS,STEVE ROGERS
CLINT BARTON,STEVE ROGERS
JAMES RHODES,STEVE ROGERS
NICK FURY,STEVE ROGERS
BRUCE BANNER,STEVE ROGERS
BALLET INSTRUCTOR,THOR
KLAUE'S MERCENARY,THOR
SOLDIERS,THOR
PARTY GUEST,THOR
SPECIALIST CAMERON KLEIN,THOR
FORTRESS SOLDIER,THOR
MADAME B,THOR
IRON LEGION,THOR
LILA BARTON,THOR
ANNOUNCER,THOR
DR. LIST,THOR
STAN LEE,THOR
BARON WOLFGANG VON STRUCKER,THOR
DR. HELEN CHO,THOR
LAURA BARTON,THOR
PIETRO MAXIMOFF,THOR
FRIDAY,THOR
HEIMDALL,THOR
MARIA HILL,THOR
PEGGY CARTER,THOR
THANOS,THOR
ERIK SELVIG,THOR
JARVIS,THOR
SAM WILSON,THOR
CLINT BARTON,THOR
JAMES RHODES,THOR
NICK FURY,THOR
BRUCE BANNER,THOR
NATASHA ROMANOFF,THOR
STEVE ROGERS,THOR
BALLET INSTRUCTOR,NATASHA ROMANOFF
KLAUE'S MERCENARY,NATASHA ROMANOFF
FORTRESS SOLDIER,NATASHA ROMANOFF
MADAME B,NATASHA ROMANOFF
IRON LEGION,NATASHA ROMANOFF
LILA BARTON,NATASHA ROMANOFF
ANNOUNCER,NATASHA ROMANOFF
DR. LIST,NATASHA ROMANOFF
BARON WOLFGANG VON STRUCKER,NATASHA ROMANOFF
DR. HELEN CHO,NATASHA ROMANOFF
LAURA BARTON,NATASHA ROMANOFF
FRIDAY,NATASHA ROMANOFF
HEIMDALL,NATASHA ROMANOFF
MARIA HILL,NATASHA ROMANOFF
ERIK SELVIG,NATASHA ROMANOFF
JARVIS,NATASHA ROMANOFF
CLINT BARTON,NATASHA ROMANOFF
JAMES RHODES,NATASHA ROMANOFF
BRUCE BANNER,NATASHA ROMANOFF
BALLET INSTRUCTOR,BRUCE BANNER
ANNOUNCER,BRUCE BANNER
BARON WOLFGANG VON STRUCKER,BRUCE BANNER
BALLET INSTRUCTOR,NICK FURY
KLAUE'S MERCENARY,NICK FURY
FORTRESS SOLDIER,NICK FURY
MADAME B,NICK FURY
IRON LEGION,NICK FURY
LILA BARTON,NICK FURY
ANNOUNCER,NICK FURY
DR. LIST,NICK FURY
BARON WOLFGANG VON STRUCKER,NICK FURY
DR. HELEN CHO,NICK FURY
LAURA BARTON,NICK FURY
FRIDAY,NICK FURY
HEIMDALL,NICK FURY
MARIA HILL,NICK FURY
ERIK SELVIG,NICK FURY
JARVIS,NICK FURY
CLINT BARTON,NICK FURY
JAMES RHODES,NICK FURY
BRUCE BANNER,NICK FURY
NATASHA ROMANOFF,NICK FURY
BALLET INSTRUCTOR,JAMES RHODES
FORTRESS SOLDIER,JAMES RHODES
IRON LEGION,JAMES RHODES
ANNOUNCER,JAMES RHODES
DR. LIST,JAMES RHODES
BARON WOLFGANG VON STRUCKER,JAMES RHODES
DR. HELEN CHO,JAMES RHODES
FRIDAY,JAMES RHODES
HEIMDALL,JAMES RHODES
ERIK SELVIG,JAMES RHODES
CLINT BARTON,JAMES RHODES
BRUCE BANNER,JAMES RHODES
BALLET INSTRUCTOR,CLINT BARTON
ANNOUNCER,CLINT BARTON
BARON WOLFGANG VON STRUCKER,CLINT BARTON
BRUCE BANNER,CLINT BARTON
BALLET INSTRUCTOR,SAM WILSON
KLAUE'S MERCENARY,SAM WILSON
PARTY GUEST,SAM WILSON
FORTRESS SOLDIER,SAM WILSON
MADAME B,SAM WILSON
IRON LEGION,SAM WILSON
LILA BARTON,SAM WILSON
ANNOUNCER,SAM WILSON
DR. LIST,SAM WILSON
BARON WOLFGANG VON STRUCKER,SAM WILSON
DR. HELEN CHO,SAM WILSON
LAURA BARTON,SAM WILSON
PIETRO MAXIMOFF,SAM WILSON
FRIDAY,SAM WILSON
HEIMDALL,SAM WILSON
MARIA HILL,SAM WILSON
ERIK SELVIG,SAM WILSON
JARVIS,SAM WILSON
CLINT BARTON,SAM WILSON
JAMES RHODES,SAM WILSON
NICK FURY,SAM WILSON
BRUCE BANNER,SAM WILSON
BALLET INSTRUCTOR,JARVIS
FORTRESS SOLDIER,JARVIS
IRON LEGION,JARVIS
ANNOUNCER,JARVIS
DR. LIST,JARVIS
BARON WOLFGANG VON STRUCKER,JARVIS
DR. HELEN CHO,JARVIS
FRIDAY,JARVIS
HEIMDALL,JARVIS
ERIK SELVIG,JARVIS
CLINT BARTON,JARVIS
JAMES RHODES,JARVIS
BRUCE BANNER,JARVIS
BALLET INSTRUCTOR,ERIK SELVIG
ANNOUNCER,ERIK SELVIG
DR. LIST,ERIK SELVIG
BARON WOLFGANG VON STRUCKER,ERIK SELVIG
DR. HELEN CHO,ERIK SELVIG
CLINT BARTON,ERIK SELVIG
BRUCE BANNER,ERIK SELVIG
BALLET INSTRUCTOR,THANOS
KLAUE'S MERCENARY,THANOS
SOLDIERS,THANOS
PARTY GUEST,THANOS
SPECIALIST CAMERON KLEIN,THANOS
FORTRESS SOLDIER,THANOS
MADAME B,THANOS
IRON LEGION,THANOS
LILA BARTON,THANOS
ANNOUNCER,THANOS
DR. LIST,THANOS
STAN LEE,THANOS
BARON WOLFGANG VON STRUCKER,THANOS
DR. HELEN CHO,THANOS
LAURA BARTON,THANOS
PIETRO MAXIMOFF,THANOS
FRIDAY,THANOS
HEIMDALL,THANOS
MARIA HILL,THANOS
PEGGY CARTER,THANOS
